passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount
1,1.09,-73.99793243,40.73020172,-73.98995972,40.72043991,8,0.5,0.5,1,0,10.3
1,0.7,-73.97940063,40.74380875,-73.97489929,40.75185776,4.5,0.5,0.5,1.15,0,6.95
1,5.38,-73.98138428,40.6796875,-73.95590973,40.71957779,19,0.5,0.5,3,0,23.3
1,3.6,-73.98213959,40.76153183,-73.98233032,40.73152924,18,0.5,0.5,4.82,0,24.12
1,18.4,-73.78364563,40.64865112,-73.9913559,40.72351074,52,0,0.5,10.4,0,63.2
1,1.9,-73.95206451,40.69949341,-73.95991516,40.71823883,9.5,0.5,0.5,2.15,0,12.95
1,3.32,-73.96826172,40.75843811,-73.94763947,40.7641983,13,0.5,0.5,2.7,0,17
1,0.83,-73.97122955,40.75787735,-73.97879791,40.74930191,5.5,0.5,0.5,0,0,6.8
1,28.5,-73.97518158,40.75170135,-74.21026611,40.54156876,76,0.5,0.5,26.62,11.75,115.67
1,1.39,-73.99859619,40.72969055,-74.00110626,40.73683167,8.5,0.5,0.5,1.8,0,11.6
1,0.4,-74.00108337,40.73137283,-73.99718475,40.736763,3.5,0.5,0.5,1.4,0,6.2
1,0.38,-73.96239471,40.75875854,-73.95861053,40.76228333,3.5,0.5,0.5,0.48,0,5.28
1,1.6,-74.0025177,40.73950195,-73.99586487,40.7590332,9,0.5,0.5,2.05,0,12.35
1,0.7,-74.00331116,40.73285675,-74.00340271,40.72547531,4.5,0.5,0.5,2,0,7.8
5,1.54,-73.99237823,40.73801422,-73.99275208,40.75437546,8,0.5,0.5,1,0,10.3
1,0.4,-73.9883728,40.74612045,-73.99434662,40.74619293,4,0.5,0.5,1,0,6.3
6,17.89,-73.78617096,40.64349365,-73.97861481,40.76502991,52,0,0.5,13,0,65.8
1,0.9,-73.96020508,40.77374649,-73.95100403,40.77517319,6,0.5,0.5,0,0,7.3
1,1.4,-73.96890259,40.75742722,-73.96323395,40.77252197,8,0.5,0.5,0,0,9.3
3,1.81,-73.96289063,40.77512741,-73.94261169,40.78902817,7.5,0.5,0.5,1,0,9.8
1,1.5,-73.98191071,40.77177811,-73.96907806,40.78602219,8.5,0.5,0.5,1.5,0,11.3
1,0.74,-74.00414276,40.74797058,-73.99472809,40.75045395,5,0.5,0.5,0,0,6.3
1,1.59,-73.95635223,40.77155304,-73.94268799,40.78612518,7,0.5,0.5,0,0,8.3
1,1.51,-73.9800415,40.75432968,-73.98728943,40.73631287,7,0.5,0.5,0,0,8.3
6,4.14,-73.99194336,40.74908829,-74.01660156,40.70529556,15.5,0.5,0.5,3.2,0,20
1,0.5,-73.98828888,40.75917816,-73.98294067,40.76440811,4,0.5,0.5,0,0,5.3
2,0.45,-73.95956421,40.76318741,-73.95576477,40.76735687,4,0.5,0.5,1.5,0,6.8
1,0.95,-73.950737,40.68045044,-73.9670105,40.68418121,5.5,0.5,0.5,1.2,0,8
1,12.86,-73.97473907,40.74197006,-73.92020416,40.88471603,37.5,0.5,0.5,8.09,2.44,49.33
1,3.77,-73.95676422,40.77106476,-73.97756195,40.72588348,13,0.5,0.5,0,0,14.3
3,4.09,-73.98296356,40.76797104,-74.00930786,40.71529007,17,0.5,0.5,0,0,18.3
1,0.69,-74.00232697,40.71980286,-74.00722504,40.72699738,4.5,0.5,0.5,1,0,6.8
1,5.2,-73.95903015,40.77171707,-73.89245605,40.74711609,16,0.5,0.5,4.12,0,21.42
1,3.9,-73.98075104,40.76994324,-73.99185944,40.72587204,15,0.5,0.5,1,0,17.3
1,12.69,-73.78261566,40.64460373,-73.94749451,40.6733017,39,0.5,0.5,0,0,40.3
3,2.3,-73.98599243,40.76239395,-73.96592712,40.79221344,10,0.5,0.5,2.25,0,13.55
5,2.3,-74.00769043,40.74068069,-73.98880768,40.71862411,10,0.5,0.5,0,0,11.3
3,4.51,-73.98181915,40.75812912,-73.95042419,40.76124954,15.5,0.5,0.5,3.2,0,20
1,0.76,-73.98475647,40.73477173,-73.97530365,40.73304367,5,0.5,0.5,1.1,0,7.4
6,1.58,-73.99910736,40.72998047,-73.97878265,40.73113632,7.5,0.5,0.5,1.6,0,10.4
1,5.2,-74.01273346,40.7022438,-73.97884369,40.74927521,16.5,0.5,0.5,3.55,0,21.35
1,3.6,-73.98220062,40.76723862,-73.98875427,40.72712326,13,0.5,0.5,2.85,0,17.15
1,0.97,-73.99769592,40.74123764,-73.99488068,40.7317009,5.5,0.5,0.5,0,0,6.8
1,1.19,-73.98822784,40.74869156,-73.98061371,40.73685455,7,0.5,0.5,1.88,0,10.18
1,2.3,-73.99303436,40.75287628,-73.96379852,40.76277161,10.5,0.5,0.5,0,0,11.8
1,0.84,-73.95407867,40.77466965,-73.94927979,40.78181076,5.5,0.5,0.5,1.2,0,8
1,3.9,-74.0043335,40.72478485,-73.96177673,40.75786591,13,0.5,0.5,2.85,0,17.15
1,1.26,-73.98474121,40.72740555,-73.99964142,40.73025894,6.5,0.5,0.5,1,0,8.8
1,1.54,-73.99427795,40.75442123,-73.98204803,40.77206039,8,0.5,0.5,0,0,9.3
1,1.5,-73.97848511,40.74488449,-73.98402405,40.7292099,7.5,0.5,0.5,0,0,8.8
1,0.97,-73.97522736,40.74582291,-73.9694519,40.75325012,5.5,0.5,0.5,1,0,7.8
1,2.8,-73.98234558,40.76331711,-73.95120239,40.77940369,11.5,0.5,0.5,3.2,0,16
1,0.97,-74.00250244,40.75009155,-73.98783875,40.74824905,6,0.5,0.5,0,0,7.3
6,5.1,-73.9829483,40.76121521,-74.00984955,40.7148819,18.5,0.5,0.5,4.75,0,24.55
1,1.05,-73.98301697,40.76174927,-73.97688293,40.77484894,6,0.5,0.5,0,0,7.3
1,9.25,-73.98670197,40.70308304,-73.97000122,40.79945374,33.5,0.5,0.5,3.5,0,38.3
1,3.4,-73.9829483,40.76101303,-73.98757935,40.72629166,14.5,0.5,0.5,3.15,0,18.95
1,3.9,-73.994133,40.74752426,-73.9730835,40.79262924,15.5,0.5,0.5,0,0,16.8
1,4.3,-74.00447845,40.74171829,-73.9560318,40.71389389,16.5,0.5,0.5,0,0,17.8
1,4.6,-73.98986816,40.73340225,-73.94867706,40.78483582,17.5,0.5,0.5,3.75,0,22.55
2,3.86,-73.98839569,40.73800278,-73.99577332,40.69559097,13,0.5,0.5,2,0,16.3
1,0.83,-73.97537994,40.75202179,-73.98112488,40.74210739,4.5,0.5,0.5,1,0,6.8
2,0.75,-74.0063858,40.73912048,-74.00125885,40.74481201,4.5,0.5,0.5,1,0,6.8
1,0.6,-73.99362946,40.69586182,-73.99256134,40.68902206,4.5,0.5,0.5,1.15,0,6.95
2,18.4,-73.78210449,40.64471436,-73.99907684,40.74309921,52,0,0.5,0,5.33,57.83
1,0.71,-73.98187256,40.77780914,-73.98027039,40.78533936,5,0.5,0.5,1.1,0,7.4
1,2,-74.00178528,40.74593353,-73.97826385,40.73085785,9.5,0.5,0.5,2.16,0,12.96
1,1.77,-73.98339081,40.77941132,-73.97068024,40.77965546,9,0.5,0.5,1.5,0,11.8
1,0.9,-73.98054504,40.76665115,-73.96630859,40.76558685,6.5,0.5,0.5,1,0,8.8
2,4.2,-73.98739624,40.76959229,-73.93909454,40.79756927,17,0.5,0.5,0,0,18.3
5,2.8,-74.00688934,40.73076248,-73.98364258,40.76520157,11.5,0.5,0.5,1,0,13.8
5,2.65,-73.98823547,40.748909,-73.99462128,40.72475433,13.5,0.5,0.5,3.5,0,18.3
1,1.02,-73.98202515,40.76760101,-73.98866272,40.77394485,6,0.5,0.5,1,0,8.3
1,3.9,-73.99927521,40.73378754,-73.99452972,40.69412231,14.5,0.5,0.5,2,0,17.8
1,5.3,-73.99497986,40.74999619,-73.99578857,40.69155884,18.5,0.5,0.5,3.95,0,23.75
1,4.8,-73.98447418,40.7286911,-73.98816681,40.77931213,17.5,0.5,0.5,2,0,20.8
5,11.71,-73.8631134,40.76917648,-73.98347473,40.76439285,35,0.5,0.5,0,5.33,41.63
2,1.92,-73.97841644,40.75236893,-73.97602844,40.73254013,8.5,0.5,0.5,1.8,0,11.6
6,8.34,-73.86270142,40.76890182,-73.96463776,40.71257782,26.5,0.5,0.5,0,0,27.8
5,0.89,-73.96030426,40.7729187,-73.95866394,40.78173828,5,0.5,0.5,0,0,6.3
1,5.4,-73.98486328,40.7528038,-74.00744629,40.70712662,18,0.5,0.5,0,0,19.3
1,2.5,-73.97586823,40.76564407,-73.99040985,40.75092697,13,0.5,0.5,2,0,16.3
5,1.53,-73.98242188,40.76142502,-73.98892975,40.77813721,9,0.5,0.5,1.9,0,12.2
1,1.56,-73.97296906,40.75255203,-73.95668793,40.76678467,7,0.5,0.5,1.5,0,9.8
1,1.8,-73.99410248,40.75418472,-73.98205566,40.77490997,8.5,0.5,0.5,0,0,9.8
5,1.09,0,0,0,0,6,0.5,0.5,0,0,7.3
2,1.8,-73.9943924,40.75615692,-74.00299835,40.73406982,7.5,0.5,0.5,0,0,8.8
2,1.9,-73.99225616,40.74350357,-73.98742676,40.76527786,9,0.5,0.5,1.5,0,11.8
1,3.6,-73.98929596,40.74048615,-73.95476532,40.77366257,15.5,0.5,0.5,1.5,0,18.3
2,0.5,-73.98452759,40.72475052,-73.98928833,40.72602463,4.5,0.5,0.5,1.45,0,7.25
2,0.9,-74.01131439,40.70527649,-74.01396179,40.70987701,6,0.5,0.5,2.7,0,10
5,0.72,-73.98394012,40.76108551,-73.9759903,40.76544189,4.5,0.5,0.5,0,0,5.8
1,1.04,-73.99105835,40.74481964,-73.99021149,40.75622177,6,0.5,0.5,0,0,7.3
6,1.47,-73.97727203,40.76377869,-73.95924377,40.77160263,7.5,0.5,0.5,1.6,0,10.4
6,3.19,-73.9712677,40.75987625,-73.9444046,40.79892349,14,0.5,0.5,1,0,16.3
1,1.8,-73.97164917,40.75763321,-73.95402527,40.77848053,7.5,0.5,0.5,1,0,9.8
1,3.04,-73.99179077,40.72613144,-73.97750854,40.76091003,12,0.5,0.5,2.5,0,15.8
1,3.1,-73.98510742,40.74157333,-73.95368195,40.77360153,13,0.5,0.5,0,0,14.3
1,2.23,-73.984375,40.76083374,-74.00776672,40.74052048,9,0.5,0.5,0,0,10.3
1,1.93,-74.00511169,40.72009277,-74.0065918,40.74152374,8,0.5,0.5,0,0,9.3
1,6.33,-74.00212097,40.73838043,-73.95968628,40.66719055,22.5,0.5,0.5,5,0,28.8
1,3,-74.00014496,40.72869873,-73.99252319,40.69613647,11.5,0.5,0.5,1.5,0,14.3
1,1.02,-73.98058319,40.7830162,-73.97266388,40.7951088,6,0.5,0.5,3,0,10.3
1,4.2,-73.99230957,40.71517944,-73.96179962,40.68310928,17,0.5,0.5,4.5,0,22.8
6,0.89,-73.98426056,40.7374382,-73.99212646,40.72608948,5.5,0.5,0.5,0,0,6.8
1,4.49,-73.98710632,40.72066879,-73.95777893,40.77453232,15.5,0.5,0.5,3.2,0,20
1,3.4,-73.97037506,40.76237488,-74.00388336,40.72956848,13.5,0.5,0.5,2.95,0,17.75
1,1.2,-73.98565674,40.7229805,-73.99976349,40.73438263,8,0.5,0.5,1.86,0,11.16
1,1.4,-73.98019409,40.74249649,-73.99781799,40.75409698,6.5,0.5,0.5,0,0,7.8
1,2.4,-73.98396301,40.75003052,-73.95648956,40.76678085,10.5,0.5,0.5,1,0,12.8
1,7.1,-73.99294281,40.73824692,-73.89540863,40.75028992,22.5,0.5,0.5,5.8,5.33,34.93
1,0,-73.9375,40.80423737,-73.9375,40.80423355,2.5,0.5,0.5,0,0,3.8
1,0.98,-73.97098541,40.75771332,-73.97911072,40.74601364,5,0.5,0.5,0,0,6.3
1,0.83,-73.9852829,40.75779343,-73.991745,40.74793625,6,0.5,0.5,0,0,7.3
1,1.45,-74.01019287,40.70365143,-74.00462341,40.71612167,6.5,0.5,0.5,1.4,0,9.2
1,5.8,-73.98665619,40.73995209,-73.92950439,40.69972229,23,0.5,0.5,3,0,27.3
2,1.09,-73.99471283,40.75048065,-73.98603821,40.74414063,7.5,0.5,0.5,0,0,8.8
1,3.4,-74.0015564,40.72590637,-73.98722076,40.68864822,13,0.5,0.5,2.86,0,17.16
1,4.21,-73.99237061,40.73730469,-73.94996643,40.70671082,16,0.5,0.5,3.3,0,20.6
1,2.24,-74.00467682,40.73036575,-74.01641846,40.70608139,9.5,0.5,0.5,0,0,10.8
1,12,-73.98223114,40.77723312,-73.98635864,40.66329575,38,0.5,0.5,7.85,0,47.15
1,8.85,-73.87445831,40.77399445,-73.97206879,40.75642014,26,0.5,0.5,9.55,5.33,42.18
5,1,-73.98599243,40.75215912,-73.98535919,40.76290894,5.5,0.5,0.5,1.2,0,8
2,0.99,-73.9849472,40.75876617,-73.98739624,40.74790192,5.5,0.5,0.5,1.2,0,8
5,3.69,-74.00994873,40.735466,-73.97070313,40.75185394,14.5,0.5,0.5,2,0,17.8
3,2.3,-73.98069763,40.76752472,-73.95524597,40.78564072,10.5,0.5,0.5,0,0,11.8
5,2.84,-73.98762512,40.72120667,-73.98314667,40.69657898,11,0.5,0.5,2.3,0,14.6
1,2.54,-73.96645355,40.75756073,-73.98825073,40.72792816,9.5,0.5,0.5,2,0,12.8
1,7.2,-73.99691772,40.7472229,-73.94769287,40.83000565,23.5,0.5,0.5,4,0,28.8
1,7.95,-73.9671402,40.75587845,-73.99586487,40.69152451,23.5,0.5,0.5,4.8,0,29.6
2,8.3,-73.9823761,40.76333237,-73.99476624,40.68455124,27.5,0.5,0.5,0,0,28.8
1,0.9,-73.97989655,40.75408173,-73.97389221,40.75917816,5.5,0.5,0.5,1.36,0,8.16
1,1.55,-73.97603607,40.74806213,-73.99294281,40.76317596,8.5,0.5,0.5,1,0,10.8
1,1.78,-73.98822784,40.74908066,-73.96966553,40.76569366,8,0.5,0.5,0,0,9.3
2,9.16,-73.98171234,40.76804352,-73.84661865,40.72425079,30.5,0.5,0.5,0,0,31.8
1,1.5,-73.9825592,40.77180862,-73.97344208,40.78532791,7,0.5,0.5,1,0,9.3
1,2.3,-73.98548126,40.73843384,-73.99261475,40.71335602,12.5,0.5,0.5,2,0,15.8
1,0.6,0,0,0,0,5.5,0.5,0.5,0.75,0,7.55
1,2.71,-73.97424316,40.75227737,-73.94874573,40.78490067,10,0.5,0.5,2.1,0,13.4
1,1.96,-73.9890213,40.74397278,-73.99884796,40.76107407,8.5,0.5,0.5,1.8,0,11.6
1,4.5,-73.98777008,40.72222137,-73.95744324,40.76564026,15,0.5,0.5,3.25,0,19.55
2,4.06,-73.96921539,40.76082611,-74.00772858,40.71325684,15.5,0.5,0.5,1.6,0,18.4
1,1.7,-73.99848938,40.745121,-74.00240326,40.72633743,7.5,0.5,0.5,1.76,0,10.56
6,4.07,-73.9875412,40.72883606,-73.95433807,40.6948204,16,0.5,0.5,0,0,17.3
4,3,-73.98014069,40.76213074,-74.00549316,40.72555161,13.5,0.5,0.5,0,0,14.8
1,2.9,-73.97973633,40.78368759,-73.9655304,40.75878525,13.5,0.5,0.5,2.95,0,17.75
3,2.77,-73.98691559,40.72252655,-74.0022583,40.74861145,12.5,0.5,0.5,0,0,13.8
1,4.02,-73.97743988,40.78422928,-74.00189972,40.73717117,15,0.5,0.5,3.1,0,19.4
6,11.17,-73.99182892,40.71507645,-73.81748199,40.74227142,31,0.5,0.5,5,0,37.3
1,0.7,-73.98464203,40.72883987,-73.99380493,40.73250961,6,0.5,0.5,1,0,8.3
3,3.2,-73.98493958,40.7534523,-73.94857788,40.77412033,12.5,0.5,0.5,3.45,0,17.25
1,1.8,-73.9889679,40.72148514,-73.98894501,40.74134445,8.5,0.5,0.5,0,0,9.8
1,10.79,-74.00547791,40.74074936,-73.91648102,40.87215042,31.5,0.5,0.5,6.4,0,39.2
6,6.97,-73.87354279,40.77394867,-73.94715881,40.71139526,22,0.5,0.5,0,0,23.3
1,2.1,-73.97216797,40.74727249,-73.95789337,40.77192307,8.5,0.5,0.5,0,0,9.8
2,1.9,-73.98840332,40.74882126,-73.96370697,40.75683594,9,0.5,0.5,1.7,0,12
1,1.46,-73.99220276,40.72570801,-73.99302673,40.71242523,7.5,0.5,0.5,0,0,8.8
1,2.4,-73.97773743,40.73410797,-73.97702026,40.73378754,2.5,0.5,0.5,0,0,3.8
1,1.9,-73.97653198,40.7881012,-73.94706726,40.77608109,9.5,0.5,0.5,2.7,0,13.5
1,1.05,-73.96035767,40.71856689,-73.94937134,40.71390152,6,0.5,0.5,0,0,7.3
1,1.52,-73.99019623,40.75095749,-73.97479248,40.75071335,8,0.5,0.5,0,0,9.3
1,0.8,-74.00786591,40.70541382,-74.01107025,40.71481705,6.5,0.5,0.5,0,0,7.8
5,5.49,-73.97919464,40.74717331,-74.01554871,40.70785522,18.5,0.5,0.5,4.75,0,24.55
